Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum, Tau_Ener_1, Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,type,type_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
833.709,189.144,511.426,322.283,16.3059,-13.8397,1.23309,15.0728,1755.69,528.084,1227.6,-2.2673,-0.254534,2.01277,1,4,91.9516,622.821,385.519,504.17,118.651,100.306,62.5252,81.4159,18.8906,3204.85,720.736,2484.11,4.62156,0.887532,-3.73403
217.162,157.335,187.248,29.9135,2.59989,1.75881,2.17935,0.420538,495.212,424.259,70.9536,0.0507752,-1.45834,-1.50912,1,4,89.704,236.391,10.8701,123.63,112.76,19.9358,-2.1616,8.88709,11.0487,1528.14,1045.25,482.899,-4.95781,-2.82431,2.1335
295.438,72.6561,184.047,111.391,4.14593,1.73023,2.93808,1.20785,500.385,388.257,112.128,1.26351,1.37798,0.114474,1,4,207.638,447.331,157.648,302.489,144.842,80.9811,70.7866,75.8839,5.09728,2537.81,352.018,2185.8,-3.92263,-0.516496,3.40614
357.595,75.8803,216.737,140.857,15.3441,8.26523,11.8047,3.53943,653.924,276.028,377.896,-0.92098,0.722294,1.64327,1,4,402.07,616.297,393.19,504.744,111.554,81.7406,56.9082,69.3244,12.4162,1719.95,1190.96,528.985,3.73948,1.50147,-2.23801
436.056,226.779,331.418,104.639,16.4045,7.25063,11.8275,4.57692,694.746,551.753,142.993,-0.2657,-1.09694,-0.831244,1,4,221.638,531.299,158.442,344.871,186.428,37.5926,-2.53727,17.5277,20.0649,2900.93,563.358,2337.57,4.29309,1.07275,-3.22034
404.345,105.031,254.688,149.657,17.3872,1.35258,9.3699,8.01733,669.165,301.069,368.095,0.954935,-0.593796,-1.54873,1,4,107.505,393.345,2.84238,198.094,195.251,43.5268,1.66796,22.5974,20.9294,2257.64,1406.84,850.803,4.79968,2.64838,-2.1513
251.744,16.6351,134.19,117.555,4.95436,-3.17203,0.891166,4.06319,293.759,166.787,126.972,0.28731,0.683606,0.396296,1,4,91.4068,347.452,0.0955658,173.774,173.678,55.0986,8.47952,31.7891,23.3096,2874.77,762.779,2111.99,-5.34781,-2.15823,3.18957
463.192,274.833,369.012,94.1796,45.4522,39.1015,42.2769,3.17533,475.48,376.137,99.3429,-0.167888,0.16014,0.328028,1,4,248.978,587.693,478.695,533.194,54.4987,84.4757,69.0124,76.744,7.73165,1526.28,697.645,828.639,-4.17065,-0.757018,3.41363
232.618,97.7089,165.164,67.4548,11.8497,2.92352,7.38662,4.4631,381.804,300.595,81.2095,0.580287,1.20579,0.625507,1,4,94.7654,866.852,194.547,530.699,336.152,68.9926,33.4681,51.2303,17.7623,3034.68,2199.03,835.646,3.65994,2.09956,-1.56038
276.182,129.711,202.947,73.235,6.80604,6.80604,6.80604,9.53674e-07,528.626,444.411,84.2158,-0.879071,-1.42006,-0.54099,1,4,95.8866,168.088,6.83706,87.4625,80.6255,18.2469,-1.08388,8.5815,9.66538,1562.32,1406.8,155.519,-4.74266,-3.47002,1.27264
