type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
1,386.191,78.7003,232.446,153.746,3.75604,0.732936,2.24449,1.51155,667.713,428.239,239.475,0.208467,1.2207,1.01223,107.14,162.84,2.14876,82.4945,80.3458,18.0401,-6.81448,5.61279,12.4273,199.481,118.065,81.4162,-0.950381,-0.896564,0.0538165
1,216.462,80.9527,148.707,67.7545,1.88733,0.346075,1.1167,0.77063,417.619,194.067,223.552,-1.10067,0.762431,1.8631,122.597,323.033,10.0328,166.533,156.5,38.5854,11.8394,25.2124,13.373,1256.1,239.302,1016.8,-3.45441,-0.895975,2.55844
1,455.687,104.924,280.305,175.381,28.1905,-4.19016,12.0001,16.1903,458.932,280.892,178.04,-0.196398,-0.0485185,0.14788,55.0725,116.529,56.1778,86.3532,30.1754,11.9589,4.20495,8.08194,3.87699,2468.72,2421.49,47.2374,-5.04089,-4.02651,1.01438
1,441.64,330.397,386.019,55.6214,15.6085,10.5426,13.0755,2.53297,598.217,465.537,132.68,-0.884547,0.63062,1.51517,31.7551,298.727,26.7575,162.742,135.985,30.1912,-13.8053,8.19299,21.9982,1054.49,687.012,367.481,3.76813,2.11892,-1.6492
1,295.262,65.7597,180.511,114.751,26.9149,19.3614,23.1382,3.77672,752.404,505.908,246.496,-0.290732,-1.68912,-1.39839,100.85,338.85,147.021,242.936,95.9148,35.8561,11.0927,23.4744,12.3817,904.469,453.831,450.638,-3.46408,-1.23564,2.22844
1,339.219,12.4161,175.817,163.401,3.37073,-0.371843,1.49945,1.87129,632.712,458.623,174.089,1.2534,1.61297,0.359578,156.531,375.868,3.66048,189.764,186.104,55.6002,15.3398,35.47,20.1302,1244.56,564.066,680.498,-3.72082,-1.75086,1.96997
1,655.829,6.54538,331.187,324.642,95.0564,-75.1086,9.97389,85.0825,1416.4,1012.43,403.961,1.13605,1.78263,0.646579,137.014,559.069,323.728,441.398,117.67,89.9759,74.8774,82.4267,7.54926,2543.2,2259.86,283.341,-3.84121,-2.3159,1.52531
1,180.523,115.533,148.028,32.4946,7.00771,6.85718,6.93244,0.0752618,253.215,209.773,43.4428,-1.68292,-0.883496,0.799423,148.802,215.898,82.5159,149.207,66.6909,23.7594,5.17452,14.4669,9.29242,1881.12,185.25,1695.87,-4.60525,-0.676617,3.92863
1,277.552,50.6141,164.083,113.469,28.1113,-28.1113,0,28.1113,700.812,182.274,518.538,-1.73229,0.466644,2.19893,39.1132,302.361,77.6697,190.015,112.346,40.6343,20.59,30.6121,10.0221,1046.65,854,192.645,3.31493,2.1827,-1.13222
1,119.605,57.9664,88.7856,30.8192,1.35804,0.662402,1.01022,0.34782,199.056,133.557,65.4996,2.35262,0.966188,-1.38643,83.4392,216.158,36.5092,126.334,89.8244,25.7826,5.48048,15.6315,10.1511,1199.24,981.728,217.51,4.26993,2.73924,-1.53069
1,169.174,36.66,102.917,66.257,1.16722,-1.16723,-1.90735e-06,1.16722,316.003,144.453,171.55,0.734221,-0.870665,-1.60489,372.902,420.537,210.432,315.485,105.052,64.9804,48.9395,56.9599,8.02046,2255.8,1759.53,496.27,-4.63745,-2.40317,2.23428
1,240.777,176.347,208.562,32.2149,4.95293,0.20455,2.57874,2.37419,405.014,269.301,135.714,2.86242,0.745708,-2.11672,27.3892,293.933,162.829,228.381,65.5524,33.3601,7.11252,20.2363,13.1238,1826.43,548.923,1277.51,5.18521,1.52295,-3.66225
1,238.758,6.10919,122.434,116.325,14.0787,3.47937,8.77906,5.29969,641.758,517.539,124.219,2.48399,2.12022,-0.363767,20.8029,259.764,52.2608,156.012,103.751,45.32,2.57355,23.9468,21.3732,778.519,264.928,513.592,3.39811,1.11678,-2.28133
1,144.624,77.751,111.188,33.4365,7.91003,-0.773278,3.56837,4.34165,232.134,111.275,120.859,1.93444,-0.0233016,-1.95775,117.44,244.57,106.57,175.57,68.9998,18.5785,7.48846,13.0335,5.54503,885.481,644.522,240.959,-3.89655,-1.97431,1.92223
1,215.425,71.5197,143.472,71.9525,6.45032,-3.039,1.70566,4.74466,217.218,145.067,72.1507,-0.114344,-0.148518,-0.0341738,35.6014,261.668,85.0938,173.381,88.2871,35.3043,10.6483,22.9763,12.328,796.194,516.069,280.126,-3.57431,-1.75335,1.82096
1,230.498,92.4047,161.451,69.0466,2.91301,-0.438156,1.23743,1.67558,400.226,330.507,69.7186,1.48103,1.34373,-0.137303,58.1555,188.669,41.6638,115.166,73.5026,13.0149,-13.0149,-1.52588e-05,13.0149,1697.43,877.046,820.388,-5.82245,-2.71899,3.10346
1,355.536,123.507,239.522,116.014,9.40605,-9.40605,0,9.40605,728.818,374.599,354.218,-0.763455,1.01755,1.78101,48.6631,230.79,64.0546,147.422,83.3677,30.5581,-11.6459,9.45613,21.102,983.574,147.782,835.792,-3.02323,-0.0277789,2.99545
1,183.168,37.1385,110.153,73.0146,3.99205,-1.2659,1.36308,2.62897,210.351,135.786,74.5648,-0.872154,-0.66954,0.202614,101.193,384.311,88.6724,236.492,147.819,65.7824,12.0878,38.9351,26.8473,2075.26,501.692,1573.57,-4.43684,-1.38094,3.0559
